Year,Call Count
2018,230118
2019,192091
2017,185471
2015,169054
2021,161613
2020,156181
2016,149379
2024,118669
2022,117845
2023,96246
2025,24447
2014,13169
2013,217
2012,152
2010,91
1915,86
2011,84
2009,76
2008,44
1914,42
2006,35
2005,33
2003,33
2004,29
2007,28
2001,19
2000,13
2002,8
1925,8
1999,6
1900,5
1918,5
1919,4
1920,4
1916,4
1923,3
1931,3
1912,3
1926,3
1994,3
1902,3
1998,3
1928,2
1930,2
1985,2
1991,2
1910,2
1996,2
1911,2
1924,2
1901,2
1988,2
1922,2
1929,1
1941,1
1967,1
1992,1
1964,1
1955,1
1908,1
1917,1
1907,1
1978,1
1921,1
1906,1
1909,1
1905,1
1984,1
1913,1
1986,1
1972,1
1982,1
